10000,0.0000063128,0.0002305970
20000,0.0000124870,0.0004044079
30000,0.0000199109,0.0006982088
40000,0.0000303404,0.0009302570
50000,0.0000378029,0.0012840833
60000,0.0000466551,0.0015367930
70000,0.0000500334,0.0017442686
80000,0.0000659474,0.0021167370
90000,0.0000771765,0.0025575099
100000,0.0001750516,0.0029742099
